CD2712                                2.00.00.001    lf0202b                       12/02/20  10:41:51
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:41:51
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:41:51
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:41:51
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:41:51
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:41:51
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:41:51
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:41:51
CD2712                                2.00.00.001    lf0202b                       12/02/20  10:41:51
tcfi00774                             2.00.00.000    lf0202rp                      12/02/20  10:41:52
twfi00774                             2.00.00.000    lf0202rp                      12/02/20  10:41:52
tcfi00774                             2.00.00.000    lf0202rp                      12/02/20  10:41:52
twfi00774                             2.00.00.000    lf0202rp                      12/02/20  10:41:52
tcfi00774                             2.00.00.000    lf0202rp                      12/02/20  10:41:52
twfi00774                             2.00.00.000    lf0202rp                      12/02/20  10:41:52
tcfi00774                             2.00.00.000    lf0202rp                      12/02/20  10:41:52
twfi00774                             2.00.00.000    lf0202rp                      12/02/20  10:41:52
tcfi00775                             2.00.00.000    lf0202rp                      12/02/20  10:41:52
twfi00775                             2.00.00.000    lf0202rp                      12/02/20  10:41:52
tcfi00775                             2.00.00.000    lf0202rp                      12/02/20  10:41:52
twfi00775                             2.00.00.000    lf0202rp                      12/02/20  10:41:52
tcfi00775                             2.00.00.000    lf0202rp                      12/02/20  10:41:52
twfi00775                             2.00.00.000    lf0202rp                      12/02/20  10:41:52
tcfi00775                             2.00.00.000    lf0202rp                      12/02/20  10:41:52
twfi00775                             2.00.00.000    lf0202rp                      12/02/20  10:41:52
tcfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:41:52
twfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:41:52
tcfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:41:52
twfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:41:52
tcfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:41:52
twfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:41:52
tcfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:41:52
twfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:41:52
tcfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:41:52
twfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:41:52
tcfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:41:52
twfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:41:52
tcfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:41:52
twfi00776                             2.00.00.000    lf0202rp                      12/02/20  10:41:52
tcfi00777                             2.00.00.000    lf0202rp                      12/02/20  10:41:53
twfi00777                             2.00.00.000    lf0202rp                      12/02/20  10:41:53
tcfi00777                             2.00.00.000    lf0202rp                      12/02/20  10:41:53
twfi00777                             2.00.00.000    lf0202rp                      12/02/20  10:41:53
tcfi00777                             2.00.00.000    lf0202rp                      12/02/20  10:41:53
twfi00777                             2.00.00.000    lf0202rp                      12/02/20  10:41:53
tcfi00777                             2.00.00.000    lf0202rp                      12/02/20  10:41:53
twfi00777                             2.00.00.000    lf0202rp                      12/02/20  10:41:53
BTB009ZA                              2.00.00.003    lf0202rp                      12/02/20  10:41:53
